antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Non Fat Raspberry Yogurt'}),frozenset({'Icelandic Style Skyr Blueberry Non-fat Yogurt'}),0.005673983089041511,0.006649356589825173,0.0023980734691681073,0.4226437462951986,63.56160037227164,1.0,0.0023603451323244325,1.7205159501365146,0.9898838146456846,0.24161301253812265,0.41877900061277834,0.3916455959599412
frozenset({'Icelandic Style Skyr Blueberry Non-fat Yogurt'}),frozenset({'Non Fat Raspberry Yogurt'}),0.006649356589825173,0.005673983089041511,0.0023980734691681073,0.36064744562468387,63.56160037227164,1.0,0.0023603451323244325,1.555207702083042,0.9908557840585654,0.24161301253812265,0.3569990692171843,0.3916455959599412
frozenset({'Vanilla Skyr Nonfat Yogurt'}),frozenset({'Icelandic Style Skyr Blueberry Non-fat Yogurt'}),0.006585452808739347,0.006649356589825173,0.002337533044981535,0.35495403472931564,53.38171143843682,1.0,0.0022937440209507614,1.5399687726026305,0.9877719178647413,0.21450617283950618,0.3506361831545805,0.35324838812844134
frozenset({'Icelandic Style Skyr Blueberry Non-fat Yogurt'}),frozenset({'Vanilla Skyr Nonfat Yogurt'}),0.006649356589825173,0.006585452808739347,0.002337533044981535,0.35154274152756704,53.38171143843682,1.0,0.0022937440209507614,1.5319661152863668,0.9878354627577967,0.21450617283950618,0.34724404801011394,0.35324838812844134
frozenset({'Total 2% Lowfat Greek Strained Yogurt With Blueberry'}),frozenset({'Total 2% with Strawberry Lowfat Greek Strained Yogurt'}),0.006958785424556541,0.010066527199467244,0.0030337479231271145,0.43595940067665534,43.30782523487622,1.0,0.0029636971203755597,1.7550748545195394,0.9837552262574192,0.21682692307692308,0.4302237323810583,0.36866463184517695
frozenset({'Total 2% with Strawberry Lowfat Greek Strained Yogurt'}),frozenset({'Total 2% Lowfat Greek Strained Yogurt With Blueberry'}),0.010066527199467244,0.006958785424556541,0.0030337479231271145,0.3013698630136986,43.30782523487622,1.0,0.0029636971203755597,1.4214119345883798,0.9868435723906982,0.21682692307692308,0.29647417777620855,0.36866463184517695
frozenset({'Total 2% Lowfat Greek Strained Yogurt with Peach'}),frozenset({'Total 2% with Strawberry Lowfat Greek Strained Yogurt'}),0.0064542818896684406,0.010066527199467244,0.0025527878865337916,0.39551849921834287,39.29046148499704,1.0,0.0024878156823384154,1.6376571847450194,0.9808794022067002,0.18275945099927765,0.38937159173780406,0.32455510660883735
frozenset({'Total 2% with Strawberry Lowfat Greek Strained Yogurt'}),frozenset({'Total 2% Lowfat Greek Strained Yogurt with Peach'}),0.010066527199467244,0.0064542818896684406,0.0025527878865337916,0.2535917139993318,39.29046148499704,1.0,0.0024878156823384154,1.3311022087306277,0.9844586094134994,0.18275945099927765,0.24874288883223708,0.32455510660883735
frozenset({'Yellow Bell Pepper'}),frozenset({'Orange Bell Pepper'}),0.00852610973960891,0.012525141092821924,0.002364439900175567,0.27731755424063115,22.14087268043312,1.0,0.002257649172714082,1.3664021655729786,0.9630456952014551,0.12652987760979123,0.2681510427929786,0.23304653222235638
frozenset({'Orange Bell Pepper'}),frozenset({'Yellow Bell Pepper'}),0.012525141092821924,0.00852610973960891,0.002364439900175567,0.18877551020408162,22.140872680433116,1.0,0.002257649172714082,1.2221942295033752,0.9669457944241832,0.12652987760979123,0.18179944246149918,0.23304653222235638
frozenset({'Lime Sparkling Water'}),frozenset({'Sparkling Water Berry'}),0.015528618803855752,0.006501368886257996,0.0020550110654441985,0.13233701537795106,20.355254053907483,1.0,0.00195405378630625,1.1450282525841604,0.9658712817301432,0.10287927260481562,0.12665910404992456,0.2242129981183599
frozenset({'Sparkling Water Berry'}),frozenset({'Lime Sparkling Water'}),0.006501368886257996,0.015528618803855752,0.0020550110654441985,0.31608898085876874,20.35525405390748,1.0,0.00195405378630625,1.4394729045780235,0.9570950628453383,0.10287927260481562,0.30530126908283367,0.2242129981183599
frozenset({'Sparkling Lemon Water'}),frozenset({'Lime Sparkling Water'}),0.010729108508620284,0.015528618803855752,0.003218732552586085,0.3,19.319168291098116,1.0,0.0030521243164505153,1.4063876874230634,0.9585220241252227,0.1397080291970803,0.28895850771254333,0.253638726445744
frozenset({'Lime Sparkling Water'}),frozenset({'Sparkling Lemon Water'}),0.015528618803855752,0.010729108508620284,0.003218732552586085,0.207277452891488,19.319168291098116,1.0,0.0030521243164505153,1.2479409032829782,0.9631950257084777,0.1397080291970803,0.19868000370106959,0.253638726445744
frozenset({'Sparkling Water Berry'}),frozenset({'Sparkling Water Grapefruit'}),0.006501368886257996,0.02510073253913266,0.0026066015969218558,0.4009311950336265,15.972888217846428,1.0,0.002443412475369655,1.6273577582054028,0.9435281393294506,0.0898967637165062,0.385506969836327,0.2523884167584051
frozenset({'Sparkling Water Grapefruit'}),frozenset({'Sparkling Water Berry'}),0.02510073253913266,0.006501368886257996,0.0026066015969218558,0.1038456384831837,15.972888217846428,1.0,0.002443412475369655,1.108624444378268,0.9615289970240258,0.0898967637165062,0.09798128205551712,0.2523884167584051
frozenset({'Peach Pear Flavored Sparkling Water'}),frozenset({'Sparkling Water Grapefruit'}),0.007204310478202084,0.02510073253913266,0.0024720673209516954,0.3431372549019608,13.670407999726756,1.0,0.002291233850509474,1.4841750041941562,0.9335750583179271,0.08286358511837655,0.3262250090628919,0.22081155924784493
frozenset({'Sparkling Water Grapefruit'}),frozenset({'Peach Pear Flavored Sparkling Water'}),0.02510073253913266,0.007204310478202084,0.0024720673209516954,0.09848586359372906,13.670407999726756,1.0,0.002291233850509474,1.101253601501364,0.9507128835547136,0.08286358511837655,0.09194394584800702,0.22081155924784493
frozenset({'Sparkling Water Grapefruit'}),frozenset({'Lime Sparkling Water'}),0.02510073253913266,0.015528618803855752,0.004849960648724279,0.19321988476483987,12.442824903195088,1.0,0.004460180941426549,1.2202474535570211,0.9433101743537949,0.1355517954502726,0.18049408987906498,0.25277195234559946
